DATE,Category,Crime,City,State,Zip.Code,Agency,Place,add_num,street,street2,street_type
2021,Crime Against Property,Motor Vehicle Theft,SILVER SPRING,MD,20906,MCPD,Parking Lot - Residential,3500,PEAR TREE,,CT
2021,Crime Against Property,Motor Vehicle Theft,GAITHERSBURG,MD,20879,MCPD,Parking Garage - Commercial,8300,TURKEY THICKET,,DR
2021,Crime Against Property,Motor Vehicle Theft,SILVER SPRING,MD,20910,MCPD,Street - Commercial,8200,GEORGIA,,AVE
2021,Crime Against Property,Motor Vehicle Theft,ROCKVILLE,MD,20850,MCPD,Street - Residential,600,MONTGOMERY,,AVE
2021,Crime Against Property,Motor Vehicle Theft,GAITHERSBURG,MD,20877,MCPD,Residence - Single Family,8100,SHADY SPRING,,DR
2021,Crime Against Property,Motor Vehicle Theft,SILVER SPRING,MD,20910,MCPD,Parking Garage - Residential,900,SILVER SPRING,,AVE
2021,Crime Against Property,Motor Vehicle Theft,BETHESDA,MD,20816,MCPD,Residence - Driveway,7000,MAC ARTHUR,,BLV
2021,Crime Against Property,Motor Vehicle Theft,SILVER SPRING,MD,20910,MCPD,Street - Residential,NA,PENNSYLVANIA,,AVE
2021,Crime Against Property,Motor Vehicle Theft,SILVER SPRING,MD,20904,MCPD,Parking Lot - Residential,11600,LOCKWOOD,,DR
2021,Crime Against Property,Motor Vehicle Theft,SILVER SPRING,MD,20902,MCPD,Parking Lot - Commercial,11100,VEIRS MILL,,RD
2021,Crime Against Property,Motor Vehicle Theft,GAITHERSBURG,MD,20879,MCPD,Parking Lot - Commercial,7600,RICKENBACKER,,DR
2021,Crime Against Property,Motor Vehicle Theft,BETHESDA,MD,20814,MCPD,Residence - Driveway,7400,GLENBROOK,,RD
2021,Crime Against Property,Motor Vehicle Theft,SILVER SPRING,MD,20906,MCPD,Bar/Night Club,12500,LAYHILL,,RD
2021,Crime Against Property,Motor Vehicle Theft,SILVER SPRING,MD,20906,MCPD,Parking Lot - Residential,14200,GRAND PRE,,RD
2021,Crime Against Property,Motor Vehicle Theft,MONTGOMERY VILLAGE,MD,20886,MCPD,Street - Residential,9800,MAPLE LEAF,,DR
2021,Crime Against Property,Motor Vehicle Theft,TAKOMA PARK,MD,20912,TPPD,Street - Residential,7100,CARROLL,,AVE
2021,Crime Against Property,Motor Vehicle Theft,SILVER SPRING,MD,20906,MCPD,Street - Residential,3500,PEAR TREE,,CT
2021,Crime Against Property,Motor Vehicle Theft,SILVER SPRING,MD,20910,MCPD,Street - Commercial,8500,FENTON,,ST
2021,Crime Against Property,Motor Vehicle Theft,SILVER SPRING,MD,20910,MCPD,Parking Lot - Residential,1900,ROSEMARY HILLS,,DR
2021,Crime Against Property,Motor Vehicle Theft,SILVER SPRING,MD,20910,MCPD,Parking Garage - Residential,900,WAYNE,,AVE
2021,Crime Against Property,Motor Vehicle Theft,ROCKVILLE,MD,20850,MCPD,Street - Other,15100,FREDERICK,,RD
2021,Crime Against Property,Motor Vehicle Theft,SILVER SPRING,MD,20906,MCPD,Street - Residential,14800,LAYHILL,,RD
2021,Crime Against Property,Motor Vehicle Theft,SILVER SPRING,MD,20910,MCPD,Street - Commercial,800,ELLSWORTH,,DR
2021,Crime Against Property,Motor Vehicle Theft,BETHESDA,MD,20814,MCPD,Parking Lot - Metro,7600,WOODMONT,,AVE
2021,Crime Against Property,Motor Vehicle Theft,TAKOMA PARK,MD,20912,MCPD,Street - Residential,NA,DOMER,,AVE
2021,Crime Against Property,Motor Vehicle Theft,ROCKVILLE,MD,20850,MCPD,Parking Lot - Other,9900,MEDICAL CENTER,,DR
2021,Crime Against Property,Motor Vehicle Theft,GERMANTOWN,MD,20876,MCPD,Residence - Driveway,1,MADRIGAL,,CT
2021,Crime Against Property,Motor Vehicle Theft,SILVER SPRING,MD,20902,MCPD,Street - Residential,2300,PRICE,,AVE
2021,Crime Against Property,Motor Vehicle Theft,SILVER SPRING,MD,20904,MCPD,Parking Lot - Residential,14000,CASTLE,,BLV
2021,Crime Against Property,Motor Vehicle Theft,ROCKVILLE,MD,20853,MCPD,Street - Residential,14000,BARDOT,,ST
2021,Crime Against Property,Motor Vehicle Theft,ROCKVILLE,MD,20853,MCPD,Residence - Driveway,4600,FRANKFORT,,DR
2021,Crime Against Property,Motor Vehicle Theft,BURTONSVILLE,MD,NA,MCPD,Residence - Driveway,4100,ZANHORN,,LA
2021,Crime Against Property,Motor Vehicle Theft,CHEVY CHASE,MD,20814,MCPD,Auto Dealership,7000,ARLINGTON,,RD
2021,Crime Against Property,Motor Vehicle Theft,SILVER SPRING,MD,20904,MCPD,Street - Residential,13200,BREGMAN,,RD
2021,Crime Against Property,Motor Vehicle Theft,BETHESDA,MD,20814,MCPD,Residence - Driveway,9200,PARKHILL,,DR
2021,Crime Against Property,Motor Vehicle Theft,MONTGOMERY VILLAGE,MD,20886,MCPD,Street - Residential,NA,STEDWICK,,RD
