Job Title,Location,Salary,Job requirements,Focus,Days open,Title1,Company,Location1,Salary2
Information Systems Security Engineer (ISSE),"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",security,6d,Information Systems Security Engineer (ISSE),,"Annapolis Junction, MD",$160K (Employer est.)
Cybersecurity Sytems Engineer Level 3 - Cloud Environment,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",security,6d,Cybersecurity Sytems Engineer Level 3 - Cloud Environment,,"Washington, DC",$96K - $146K (Glassdoor est.)
Security Architect,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",security,6d,Security Architect,,"Washington, DC",$143K - $204K (Glassdoor est.)
"Cyber Security Engineer, Detections Lead","Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",security,6d,"Cyber Security Engineer, Detections Lead",,"Springfield, VA",$81K - $118K (Glassdoor est.)
Pen Tester 16180678,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",security,6d,Pen Tester 16180678,,"Arlington, VA",$115K (Employer est.)
"Security Engineer, 340B","Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",security,6d,"Security Engineer, 340B",,"Washington, DC",$125K - $170K (Employer est.)
Security Controls Assessor,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",security,6d,Security Controls Assessor,,United States,$250K (Employer est.)
Advanced Cyber Threat Analyst,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",security,6d,Advanced Cyber Threat Analyst,,"Arlington, VA",$82K - $186K (Employer est.)
"Security Architect, Lead","Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",security,6d,"Security Architect, Lead",,"Washington, DC",$93K - $212K (Employer est.)
Cyber Network Engineer Principal,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",security,6d,Cyber Network Engineer Principal,,"Chantilly, VA",$110K - $164K (Glassdoor est.)
Lead Cyber Engineer,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",security,6d,Lead Cyber Engineer,,"Chantilly, VA",$91K - $133K (Glassdoor est.)
Federal - SailPoint Engineer,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",security,6d,Federal - SailPoint Engineer,,"Arlington, VA",
Cyber Threat Intelligence Analyst,"Washington, DC",,"Understanding cybersecurity principles, policy, risk management frameworks and risk assessment, as well as the implementation of security measures to protect……",security,6d,Cyber Threat Intelligence Analyst,,"Reston, VA",
